,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID,Correct ID,Vote Average,Vote Count,Genre,Movie Budget,Movie Revenue,Original Language
165,341,Have a Good Trip: Adventures in Psychedelics,2020,18+,74/100,1,0,0,0,0,673175,673175,6.849,129,Documentary,0,0,en
166,342,Beasts of No Nation,2015,18+,74/100,1,0,0,0,0,283587,283587,7.577,1426,Drama,6000000,9077700,en
167,343,Extinction,2018,18+,74/100,1,0,0,0,0,279988,429415,6.009,1510,Action,0,1451864,en
168,345,ARQ,2016,18+,74/100,1,0,0,0,0,410199,410199,6.093,985,Science Fiction,2000000,0,en
169,346,Ali's Wedding,2017,18+,74/100,1,0,0,0,0,457258,457258,7.093,54,Comedy,0,0,en
170,347,Bo Burnham: Make Happy,2016,18+,74/100,1,0,0,0,0,400608,400608,8.2,293,Comedy,0,0,en
171,348,Mank,2020,18+,74/100,1,0,0,0,0,614560,614560,6.797,1251,Drama,25000000,122252,en
172,349,"Extremely Wicked, Shockingly Evil and Vile",2019,18+,74/100,1,0,0,0,0,457799,457799,7.032,2883,Crime,0,0,en
173,351,Between Two Ferns: The Movie,2019,18+,74/100,1,0,0,0,0,584962,584962,5.97,658,Comedy,0,0,en
174,353,Mirage,2018,18+,74/100,1,0,0,0,0,19661,529216,7.5,1484,Thriller,0,17325485,es
175,356,The Kissing Booth,2018,16+,73/100,1,0,0,0,0,454983,454983,7.275,6556,Romance,0,0,en
176,357,Hush,2016,18+,73/100,1,0,0,0,0,17941,376570,6.747,3886,Horror,0,0,en
177,361,Soni,2019,18+,73/100,1,0,0,0,0,539036,539036,6.9,30,Drama,0,0,hi
178,363,Killing Them Softly,2012,18+,73/100,1,0,0,0,0,64689,64689,6.018,1730,Crime,15000000,37930465,en
179,365,Wish Dragon,2021,7+,73/100,1,0,0,0,0,550205,550205,8.043,908,Animation,0,25860000,en
180,367,Let It Snow,2019,13+,73/100,1,0,0,0,0,240906,295151,6.101,1014,Romance,0,0,en
181,369,Hardcore Henry,2015,18+,73/100,1,0,0,0,0,325348,325348,6.351,1958,Action,2000000,14333790,en
182,370,Tig Notaro: Happy To Be Here,2018,16+,73/100,1,0,0,0,0,521512,521512,6.1,37,Comedy,0,0,en
183,371,Spelling the Dream,2020,all,73/100,1,0,0,0,0,530973,530973,7.6,10,Documentary,0,0,en
184,372,Knock Down the House,2019,7+,73/100,1,0,0,0,0,565312,565312,7.4,142,Documentary,0,0,en
185,374,Polar,2019,18+,73/100,1,0,0,0,0,70631,483906,6.259,1785,Action,0,0,en
186,375,Saving Capitalism,2017,7+,73/100,1,0,0,0,0,483010,483010,6.679,42,Documentary,0,0,en
187,377,The Mitchells vs. The Machines,2021,7+,73/100,1,0,0,0,0,501929,,,,,,,
188,378,Spenser Confidential,2020,18+,73/100,1,0,0,0,0,581600,581600,6.545,1881,Comedy,0,0,en
189,382,Self/less,2015,13+,73/100,1,0,0,0,0,238615,238615,6.407,2664,Science Fiction,26000000,31807156,en
190,383,The Highwaymen,2019,18+,73/100,1,0,0,0,0,500682,500682,6.734,1646,Crime,49000000,0,en
191,384,ParaNorman,2012,7+,73/100,1,0,0,0,0,77174,77174,6.933,2115,Family,60000000,107139399,en
192,387,Pee-wee's Big Holiday,2016,7+,73/100,1,0,0,0,0,347689,347689,6.149,194,Adventure,0,0,en
193,388,Gunpowder Milkshake,2021,18+,73/100,1,0,0,0,0,574060,574060,6.398,649,Action,30000000,344931,en
194,389,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,73/100,1,0,0,0,0,430780,430780,6.356,45,Comedy,0,0,en
195,390,I Am Not Your Negro,2017,18+,73/100,1,1,0,0,0,411019,411019,7.803,384,Documentary,1000000,7123919,en
196,391,Midnight Special,2016,13+,73/100,1,0,0,0,0,245703,245703,6.24,1627,Adventure,18000000,6740647,en
197,393,Homefront,2013,18+,73/100,1,0,0,0,0,204082,204082,6.954,2888,Action,22000000,43058898,en
198,396,No Escape,2015,18+,73/100,1,0,0,0,0,10447,192141,6.911,2133,Thriller,5000000,54418872,en
199,401,Fractured,2019,18+,73/100,1,0,1,0,0,249109,568091,6.707,1873,Thriller,0,0,en
200,405,The Discovery,2017,18+,72/100,1,0,0,0,0,376134,376134,6.335,1102,Drama,0,0,en
201,407,Penguins of Madagascar,2014,7+,72/100,1,0,0,0,0,270946,270946,6.505,3483,Family,132000000,373552094,en
202,409,Voyeur,2017,18+,72/100,1,0,0,0,0,412763,473415,5.996,141,Documentary,0,0,en
203,410,It Comes at Night,2017,18+,72/100,1,0,0,0,0,418078,418078,5.824,1964,Drama,5000000,19280931,en
204,414,The BFG,2016,7+,72/100,1,0,0,0,0,15433,267935,6.241,2859,Adventure,140000000,195243411,en
